Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-001737,2022-01-01,2022-01-06,Second Class,CUS-8761,James Brown,Home Office,United Kingdom,Birmingham,Birmingham,Europe,PRD-7260,Furniture,Tables,Meeting Table,6532.75,9,0.03,1888.28
ORD-002599,2022-01-01,2022-01-06,Second Class,CUS-4360,Robert Taylor,Consumer,Australia,Sydney,Sydney,Asia Pacific,PRD-2734,Technology,Computers,HP Desktop,3533.86,3,0.0,668.87
ORD-002448,2022-01-01,2022-01-04,Second Class,CUS-9870,Michael Anderson,Consumer,China,Chengdu,Chengdu,Asia Pacific,PRD-9753,Furniture,Furnishings,Desk Lamp,222.88,2,0.14,35.07
ORD-004420,2022-01-01,2022-01-07,First Class,CUS-8735,Nancy Wilson,Consumer,Italy,Turin,Turin,Europe,PRD-8950,Office Supplies,Storage,Cabinet Organizer,96.7,2,0.01,13.54
ORD-002786,2022-01-01,2022-01-08,Standard Class,CUS-1510,Michael Garcia,Consumer,United States,Austin,Austin,North America,PRD-3714,Furniture,Tables,Conference Table,4723.04,9,0.06,1100.91
ORD-004879,2022-01-01,2022-01-03,Second Class,CUS-7419,Jane Moore,Home Office,Chile,Concepción,Concepción,South America,PRD-4485,Furniture,Chairs,Ergonomic Chair,971.75,4,0.03,100.58
ORD-000673,2022-01-01,2022-01-02,First Class,CUS-4485,Mary Johnson,Home Office,Argentina,La Plata,La Plata,South America,PRD-9753,Furniture,Furnishings,Desk Lamp,682.25,7,0.13,-14.34
ORD-001078,2022-01-01,2022-01-04,First Class,CUS-8918,Mary Martinez,Home Office,Chile,Concepción,Concepción,South America,PRD-4342,Furniture,Furnishings,Cabinet,241.13,2,0.04,20.92
ORD-002551,2022-01-02,2022-01-09,Same Day,CUS-4513,Richard Brown,Corporate,Canada,Ottawa,Ottawa,North America,PRD-9402,Office Supplies,Paper,Notebook,35.68,2,0.1,7.06
ORD-003248,2022-01-02,2022-01-09,Same Day,CUS-1302,Robert Jones,Consumer,China,Beijing,Beijing,Asia Pacific,PRD-5620,Technology,Accessories,USB Cable,91.08,3,0.17,9.03
ORD-003412,2022-01-02,2022-01-06,Standard Class,CUS-1577,Nancy Rodriguez,Home Office,Brazil,Rio de Janeiro,Rio de Janeiro,South America,PRD-6228,Office Supplies,Binders,Index Binder,50.11,5,0.16,5.64
ORD-004635,2022-01-02,2022-01-08,Standard Class,CUS-2288,Mary Garcia,Home Office,United States,Dallas,Dallas,North America,PRD-1125,Technology,Phones,Samsung Galaxy S21,4395.61,5,0.13,540.05
ORD-002512,2022-01-02,2022-01-08,Same Day,CUS-6762,Linda Martinez,Consumer,Mexico,Monterrey,Monterrey,North America,PRD-6424,Furniture,Chairs,Executive Chair,1797.07,6,0.17,263.6
ORD-003407,2022-01-02,2022-01-08,First Class,CUS-3858,Nancy Martinez,Consumer,Japan,Fukuoka,Fukuoka,Asia Pacific,PRD-7357,Office Supplies,Storage,Storage Box,178.67,5,0.02,73.46
ORD-002076,2022-01-02,2022-01-04,Second Class,CUS-3189,Lisa Rodriguez,Consumer,Australia,Melbourne,Melbourne,Asia Pacific,PRD-0739,Furniture,Chairs,Office Chair,1661.74,6,0.02,517.02
ORD-001415,2022-01-02,2022-01-03,Standard Class,CUS-9255,Robert Williams,Corporate,Chile,La Serena,La Serena,South America,PRD-0739,Furniture,Chairs,Office Chair,682.0,3,0.14,63.7
ORD-001943,2022-01-02,2022-01-04,Second Class,CUS-5888,Jane Moore,Corporate,Brazil,São Paulo,São Paulo,South America,PRD-4129,Furniture,Chairs,Conference Chair,1421.65,6,0.06,-56.93
ORD-001887,2022-01-03,2022-01-07,Standard Class,CUS-2692,Sarah Johnson,Home Office,Argentina,Mendoza,Mendoza,South America,PRD-5263,Technology,Phones,iPhone 13,4808.81,7,0.09,150.59
ORD-000830,2022-01-03,2022-01-10,Same Day,CUS-2854,Linda Rodriguez,Consumer,Germany,Hamburg,Hamburg,Europe,PRD-6662,Technology,Computers,Lenovo ThinkPad,14188.12,9,0.12,1621.26
ORD-001839,2022-01-03,2022-01-10,First Class,CUS-9236,Sarah Williams,Home Office,Brazil,Brasília,Brasília,South America,PRD-1465,Technology,Computers,ASUS VivoBook,1429.32,2,0.12,83.87
ORD-004021,2022-01-03,2022-01-09,First Class,CUS-3559,Sarah Martinez,Home Office,France,Marseille,Marseille,Europe,PRD-6424,Furniture,Chairs,Executive Chair,4057.76,10,0.12,741.88
ORD-001376,2022-01-03,2022-01-09,Standard Class,CUS-9452,James Jones,Corporate,India,Hyderabad,Hyderabad,Asia Pacific,PRD-2542,Furniture,Furnishings,File Storage,823.57,7,0.19,131.74
ORD-001813,2022-01-03,2022-01-04,First Class,CUS-7607,Thomas Davis,Home Office,United States,Dallas,Dallas,North America,PRD-7357,Office Supplies,Storage,Storage Box,141.94,4,0.16,26.9
ORD-001940,2022-01-03,2022-01-06,First Class,CUS-5019,Jane Jones,Home Office,India,Bangalore,Bangalore,Asia Pacific,PRD-5635,Technology,Accessories,Webcam,119.95,3,0.14,9.94
ORD-004136,2022-01-03,2022-01-10,Same Day,CUS-1997,Richard Johnson,Home Office,Japan,Nagoya,Nagoya,Asia Pacific,PRD-2421,Furniture,Tables,Office Desk,1481.89,4,0.01,335.07
ORD-004762,2022-01-04,2022-01-10,Second Class,CUS-9657,William Taylor,Corporate,Australia,Perth,Perth,Asia Pacific,PRD-4553,Technology,Phones,OnePlus 9,1982.39,3,0.14,261.65
ORD-000606,2022-01-04,2022-01-08,Second Class,CUS-9460,David Thomas,Consumer,France,Marseille,Marseille,Europe,PRD-1357,Office Supplies,Binders,3-Ring Binder,192.34,9,0.08,58.81
ORD-004026,2022-01-04,2022-01-09,Same Day,CUS-4890,Richard Johnson,Consumer,United Kingdom,Leeds,Leeds,Europe,PRD-8531,Technology,Accessories,Wireless Mouse,71.93,1,0.04,9.95
ORD-000758,2022-01-04,2022-01-10,Same Day,CUS-8938,Richard Williams,Consumer,China,Guangzhou,Guangzhou,Asia Pacific,PRD-0608,Technology,Accessories,Laptop Bag,116.2,3,0.1,12.99
ORD-004979,2022-01-04,2022-01-06,Second Class,CUS-2907,Patricia Miller,Home Office,India,Bangalore,Bangalore,Asia Pacific,PRD-1125,Technology,Phones,Samsung Galaxy S21,4609.77,9,0.14,443.81
ORD-004759,2022-01-04,2022-01-10,Standard Class,CUS-3562,Patricia Wilson,Consumer,Australia,Adelaide,Adelaide,Asia Pacific,PRD-7727,Office Supplies,Paper,Legal Pad,89.71,6,0.05,23.48
ORD-002288,2022-01-04,2022-01-05,Second Class,CUS-2290,Patricia Garcia,Home Office,India,Hyderabad,Hyderabad,Asia Pacific,PRD-9402,Office Supplies,Paper,Notebook,153.3,9,0.19,20.19
ORD-003840,2022-01-04,2022-01-11,Same Day,CUS-9029,Linda Rodriguez,Corporate,France,Nice,Nice,Europe,PRD-8531,Technology,Accessories,Wireless Mouse,269.92,6,0.19,29.72
ORD-002016,2022-01-04,2022-01-06,First Class,CUS-9248,Mary Jones,Consumer,China,Shanghai,Shanghai,Asia Pacific,PRD-4485,Furniture,Chairs,Ergonomic Chair,2333.23,8,0.02,453.5
ORD-003781,2022-01-04,2022-01-08,Same Day,CUS-5005,Linda Smith,Consumer,Canada,Ottawa,Ottawa,North America,PRD-9999,Office Supplies,Paper,Color Paper,132.05,6,0.04,36.12
ORD-002648,2022-01-05,2022-01-12,Standard Class,CUS-9535,Mary Taylor,Corporate,Japan,Sapporo,Sapporo,Asia Pacific,PRD-2294,Technology,Computers,MacBook Pro,6147.52,7,0.23,530.11
ORD-001855,2022-01-05,2022-01-09,First Class,CUS-5621,Robert Brown,Consumer,United States,Houston,Houston,North America,PRD-4129,Furniture,Chairs,Conference Chair,307.75,1,0.06,88.71
ORD-003150,2022-01-05,2022-01-10,Second Class,CUS-9999,Linda Jackson,Consumer,United Kingdom,Manchester,Manchester,Europe,PRD-6424,Furniture,Chairs,Executive Chair,1585.27,4,0.06,303.01
ORD-002201,2022-01-05,2022-01-12,Second Class,CUS-3928,Nancy Taylor,Corporate,United Kingdom,Manchester,Manchester,Europe,PRD-5726,Office Supplies,Art,Pens,128.44,5,0.22,26.31
ORD-003379,2022-01-05,2022-01-12,Same Day,CUS-7836,Patricia Jackson,Corporate,United Kingdom,Manchester,Manchester,Europe,PRD-7039,Technology,Phones,Google Pixel 6,4821.22,6,0.05,488.01
ORD-001609,2022-01-05,2022-01-11,Same Day,CUS-9774,Patricia Wilson,Consumer,China,Shenzhen,Shenzhen,Asia Pacific,PRD-2913,Technology,Phones,Motorola Edge,2128.2,3,0.03,271.03
ORD-000527,2022-01-05,2022-01-10,First Class,CUS-9315,Lisa Moore,Home Office,Germany,Berlin,Berlin,Europe,PRD-7708,Office Supplies,Binders,Zip Binder,54.5,3,0.11,13.45
ORD-001966,2022-01-05,2022-01-06,Same Day,CUS-7692,Linda Brown,Home Office,Chile,Concepción,Concepción,South America,PRD-8531,Technology,Accessories,Wireless Mouse,155.01,5,0.14,8.32
ORD-000334,2022-01-05,2022-01-10,Second Class,CUS-3845,David Brown,Home Office,Mexico,Puebla,Puebla,North America,PRD-8950,Office Supplies,Storage,Cabinet Organizer,135.8,3,0.04,32.26
ORD-004220,2022-01-06,2022-01-11,Standard Class,CUS-3326,Emily Miller,Corporate,Italy,Rome,Rome,Europe,PRD-4553,Technology,Phones,OnePlus 9,4923.94,7,0.16,-146.32
ORD-000777,2022-01-06,2022-01-11,Second Class,CUS-3641,Michael Rodriguez,Home Office,Argentina,Buenos Aires,Buenos Aires,South America,PRD-2913,Technology,Phones,Motorola Edge,5357.94,8,0.01,-136.5
ORD-000632,2022-01-06,2022-01-10,Same Day,CUS-8974,Mary Anderson,Home Office,United States,Chicago,Chicago,North America,PRD-1612,Office Supplies,Storage,Shelf,226.42,6,0.11,75.66
ORD-004818,2022-01-06,2022-01-10,Second Class,CUS-4123,Michael Taylor,Consumer,Australia,Adelaide,Adelaide,Asia Pacific,PRD-7708,Office Supplies,Binders,Zip Binder,41.09,4,0.12,15.05
ORD-002135,2022-01-06,2022-01-07,Standard Class,CUS-3221,David Smith,Corporate,Argentina,La Plata,La Plata,South America,PRD-5911,Office Supplies,Binders,D-Ring Binder,14.98,2,0.29,0.65
